"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,NewCases/1M pop,NewDeaths/1M pop,ActiveCases/1M pop
Costa Rica,567995,89,7332,4,558639,438,2024,64,110051.0,1421.0,2839020,550070,5161199,North America,17.2,0.8,392.2
Saudi Arabia,550136,48,8851,1,539338,61,1947,29,15455.0,249.0,31908463,896425,35595239,Asia,1.3,0.0,54.7
Bolivia,549638,1746,19281,5,501698,1123,28659,220,46178.0,1620.0,2593083,217860,11902544,South America,146.7,0.4,2407.8
Denmark,542794,6599,2996,13,467910,4065,71888,65,93237.0,515.0,97849184,16807870,5821629,Europe,1133.5,2.2,12348.4
Ecuador,530865,0,33498,0,443880,0,53487,759,29445.0,1858.0,2053558,113902,18029171,South America,0.0,0.0,2966.7
Myanmar,526024,274,19170,8,502325,805,4529,0,9575.0,349.0,5766977,104976,54935909,Asia,5.0,0.1,82.4
S. Korea,503606,7022,4130,53,426441,2221,73035,852,9811.0,80.0,15804065,307874,51332851,Asia,136.8,1.0,1422.8
Lithuania,488081,1704,6941,16,452508,1388,28632,121,182977.0,2602.0,6324027,2370815,2667449,Europe,638.8,6.0,10733.9
Panama,480217,127,7385,3,469905,215,2927,14,108827.0,1674.0,4296722,973728,4412653,North America,28.8,0.7,663.3
Paraguay,463650,70,16500,8,446487,55,663,55,63874.0,2273.0,1975521,272154,7258846,South America,9.6,1.1,91.3
Slovenia,437689,1323,5384,19,408339,2348,23966,242,210493.0,2589.0,1988559,956337,2079350,Europe,636.3,9.1,11525.7
Venezuela,437113,511,5229,6,424783,600,7101,681,15435.0,185.0,3359014,118611,28319663,South America,18.0,0.2,250.7
Palestine,433547,330,4568,6,425257,260,3722,55,82233.0,866.0,2776809,526692,5272173,Asia,62.6,1.1,706.0
Kuwait,413637,29,2466,0,410835,25,336,3,94836.0,565.0,5531858,1268310,4361599,Asia,6.6,0.0,77.0
Dominican Republic,409862,372,4218,4,403895,361,1749,116,37244.0,383.0,2496351,226843,11004772,North America,33.8,0.4,158.9
Uruguay,402149,252,6141,1,393681,235,2327,15,115193.0,1759.0,4195353,1201729,3491098,South America,72.2,0.3,666.6
Mongolia,384912,286,2028,2,313256,0,69628,192,114749.0,605.0,4030048,1201433,3354369,Asia,85.3,0.6,20757.4
Honduras,378547,124,10419,3,122570,98,245558,53,37363.0,1028.0,1126359,111173,10131626,North America,12.2,0.3,24236.8
Libya,377450,577,5540,11,362177,1269,9733,0,53875.0,791.0,1946252,277799,7005979,Africa,82.4,1.6,1389.2
Ethiopia,372868,157,6822,3,350191,119,15855,169,3132.0,57.0,3924351,32960,119063297,Africa,1.3,0.0,133.2
Moldova,369013,516,9333,18,353011,0,6669,234,91784.0,2321.0,2241776,557596,4020433,Europe,128.3,4.5,1658.8
Egypt,367456,822,20966,47,305652,905,40838,90,3496.0,199.0,3693367,35136,105115032,Africa,7.8,0.4,388.5
Armenia,342115,347,7767,20,324224,1208,10124,0,115142.0,2614.0,2433927,819164,2971234,Asia,116.8,6.7,3407.3
Norway,310781,5413,1136,1,88952,0,220693,108,56687.0,207.0,8837513,1611985,5482379,Europe,987.3,0.2,40255.0
Oman,304679,0,4113,0,300066,0,500,1,57556.0,777.0,25000000,4722694,5293589,Asia,0.0,0.0,94.5
Bosnia and Herzegovina,280980,511,12918,36,192218,0,75844,0,86419.0,3973.0,1426356,438695,3251364,Europe,157.2,11.1,23326.8
Bahrain,277997,33,1394,0,276292,55,311,1,155599.0,780.0,7588957,4247638,1786630,Asia,18.5,0.0,174.1
Singapore,272433,454,783,4,265242,1017,6408,40,46045.0,132.0,21098774,3565970,5916700,Asia,76.7,0.7,1083.0
Latvia,260658,650,4360,11,246049,1075,10249,113,140434.0,2349.0,5433502,2927387,1856093,Europe,350.2,5.9,5521.8
Kenya,255932,136,5342,3,248488,8,2102,2,4613.0,96.0,2879290,51901,55477032,Africa,2.5,0.1,37.9
Qatar,245030,163,612,1,242081,143,2337,13,87267.0,218.0,3050843,1086558,2807805,Asia,58.1,0.4,832.3
Estonia,227446,592,1845,7,211800,749,13801,25,171293.0,1389.0,2391504,1801073,1327822,Europe,445.8,5.3,10393.7
Australia,225640,1728,2084,2,208521,1498,15035,87,8703.0,80.0,49631719,1914328,25926451,Australia/Oceania,66.7,0.1,579.9
North Macedonia,218723,361,7710,15,205393,433,5620,0,104991.0,3701.0,1496479,718338,2083251,Europe,173.3,7.2,2697.7
Nigeria,216451,533,2981,0,207661,42,5809,11,1014.0,14.0,3629527,17001,213495156,Africa,2.5,0.0,27.2
Algeria,212434,210,6132,6,146006,160,60296,19,4722.0,136.0,230861,5131,44991905,Africa,4.7,0.1,1340.2
Zambia,210724,162,3668,0,206546,26,510,23,11018.0,192.0,2769654,144819,19124909,Africa,8.5,0.0,26.7
Albania,203215,352,3130,2,194452,426,5633,23,70726.0,1089.0,1416414,492964,2873262,Europe,122.5,0.7,1960.5
Finland,201051,1794,1421,15,46000,0,153630,54,36205.0,256.0,8150123,1467661,5553139,Europe,323.1,2.7,27665.4
Botswana,196090,0,2421,0,192452,0,1217,1,81028.0,1000.0,1929047,797120,2420021,Africa,0.0,0.0,502.9
Uzbekistan,195246,148,1430,2,191976,195,1840,23,5714.0,42.0,1377915,40327,34168337,Asia,4.3,0.1,53.9
Kyrgyzstan,183863,53,2766,2,178905,54,2192,131,27527.0,414.0,1861786,278739,6679306,Asia,7.9,0.3,328.2
Zimbabwe,161998,6181,4729,6,129442,306,27827,12,10675.0,312.0,1685321,111061,15174773,Africa,407.3,0.4,1833.8
Montenegro,159433,219,2347,7,154887,229,2199,60,253801.0,3736.0,923783,1470568,628181,Europe,348.6,11.1,3500.6
Afghanistan,157611,24,7324,2,141506,8,8781,1124,3922.0,182.0,801994,19955,40190848,Asia,0.6,0.0,218.5
Mozambique,152965,379,1942,1,149943,321,1080,8,4704.0,60.0,997829,30688,32515649,Africa,11.7,0.0,33.2
Cyprus,140030,662,607,0,124370,0,15053,44,114775.0,498.0,9477138,7767917,1220036,Asia,542.6,0.0,12338.2
Ghana,131246,0,1228,0,129326,0,692,5,4101.0,38.0,1933408,60405,32007152,Africa,0.0,0.0,21.6
Namibia,131230,554,3575,0,125846,79,1809,3,50334.0,1371.0,810348,310811,2607203,Africa,212.5,0.0,693.8
Uganda,127877,81,3265,2,97739,23,26873,100,2674.0,68.0,2008652,42005,47819074,Africa,1.7,0.0,562.0
Cambodia,120327,15,2978,4,116680,12,669,0,7056.0,175.0,2725832,159850,17052487,Asia,0.9,0.2,39.2
El Salvador,119803,0,3792,1,102982,0,13029,246,18337.0,580.0,1440742,220519,6533416,North America,0.0,0.2,1994.2
Cameroon,107549,0,1823,0,102716,0,3010,152,3911.0,66.0,1751774,63707,27497169,Africa,0.0,0.0,109.5
Rwanda,100556,39,1344,0,45522,0,53690,1,7496.0,100.0,3613786,269395,13414453,Africa,2.9,0.0,4002.4
Luxembourg,93429,369,890,1,86920,412,5619,23,145834.0,1389.0,3735071,5830091,640654,Europe,576.0,1.6,8770.7
Maldives,92846,92,256,1,90776,151,1814,23,167513.0,462.0,1790773,3230920,554261,Asia,166.0,1.8,3272.8
Jamaica,91652,51,2418,2,63358,48,25876,6,30758.0,811.0,680642,228418,2979812,North America,17.1,0.7,8683.8
Laos,86148,1645,231,7,7339,0,78578,0,11598.0,31.0,848756,114269,7427729,Asia,221.5,0.9,10579.0
Trinidad and Tobago,79237,898,2361,25,63010,613,13866,22,56355.0,1679.0,470218,334431,1406026,North America,638.7,17.8,9861.8
Senegal,74065,11,1886,0,72133,4,46,2,4262.0,109.0,887279,51055,17379053,Africa,0.6,0.0,2.6
Angola,65371,25,1737,1,63417,40,217,3,1904.0,51.0,1192540,34730,34337081,Africa,0.7,0.0,6.3
Réunion,63863,0,391,0,59685,0,3787,34,70604.0,432.0,1347378,1489592,904528,Africa,0.0,0.0,4186.7
Malawi,62147,59,2307,0,58852,6,988,67,3132.0,116.0,449549,22657,19841531,Africa,3.0,0.0,49.8
Ivory Coast,61882,19,706,0,60946,17,230,0,2265.0,26.0,1172127,42906,27318673,Africa,0.7,0.0,8.4
DRC,59851,643,1118,3,50930,0,7803,0,640.0,12.0,306299,3277,93478896,Africa,6.9,0.0,83.5
Guadeloupe,55284,0,748,0,2250,0,52286,23,138133.0,1869.0,551264,1377392,400223,North America,0.0,0.0,130642.2
Fiji,52577,5,697,0,51157,5,723,0,58044.0,769.0,465125,513488,905814,Australia/Oceania,5.5,0.0,798.2
Eswatini,51172,835,1248,0,45409,72,4515,11,43459.0,1060.0,401183,340712,1177485,Africa,709.1,0.0,3834.4
Suriname,51149,25,1176,1,29584,1,20389,13,86079.0,1979.0,162898,274141,594212,South America,42.1,1.7,34312.7
Syria,49101,93,2804,6,30276,96,16021,0,2711.0,155.0,113162,6248,18112744,Asia,5.1,0.3,884.5
French Guiana,46421,56,332,1,11254,0,34835,5,149829.0,1072.0,462858,1493929,309826,South America,180.7,3.2,112434.1
French Polynesia,46334,0,636,0,0,0,0,7,163580.0,2245.0,0,0,283250,Australia/Oceania,0.0,0.0,0.0
Martinique,45501,0,718,0,104,0,44679,1,121386.0,1915.0,416247,1110451,374845,North America,0.0,0.0,119193.3
Madagascar,44800,0,972,0,43119,0,709,22,1560.0,34.0,290447,10115,28715781,Africa,0.0,0.0,24.7
Sudan,44529,123,3208,2,36009,0,5312,0,982.0,71.0,238579,5264,45323453,Africa,2.7,0.0,117.2
Malta,40357,88,470,1,38111,59,1776,3,91050.0,1060.0,1211456,2733183,443240,Europe,198.5,2.3,4006.9
Mauritania,39742,38,848,2,38284,78,610,15,8236.0,176.0,523887,108565,4825580,Africa,7.9,0.4,126.4
Cabo Verde,38489,7,351,0,38009,9,129,23,68159.0,622.0,211166,373948,564694,Africa,12.4,0.0,228.4
Guyana,38453,51,1016,2,36634,129,803,14,48550.0,1283.0,402981,508797,792027,South America,64.4,2.5,1013.9
Gabon,37591,0,282,0,34131,0,3178,6,16334.0,123.0,1425314,619337,2301353,Africa,0.0,0.0,1380.9
Papua New Guinea,35835,0,573,0,34917,0,345,7,3899.0,62.0,249149,27107,9191184,Australia/Oceania,0.0,0.0,37.5
Belize,31033,42,586,0,29609,73,838,10,76056.0,1436.0,361427,885790,408028,North America,102.9,0.0,2053.8
Guinea,30798,0,388,0,29753,0,657,49,2257.0,28.0,569940,41768,13645501,Africa,0.0,0.0,48.1
Barbados,26668,103,249,3,24064,0,2355,0,92635.0,865.0,448856,1559161,287883,North America,357.8,10.4,8180.4
