"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Malta,"71,679",+98,607 ,,"69,860",+72,"1,212",3,"161,618","1,369","1,211,456","2,731,525","443,509 ",Europe
Eswatini,"69,290",+32,"1,391 ",,"67,739",+28,160,11,"58,708","1,179","480,910","407,468","1,180,240 ",Africa
French Polynesia,"68,425",,642 ,,N/A,N/A,N/A,7,"241,254","2,264",,,"283,622 ",Australia/Oceania
Fiji,"64,019",+12,834 ,,"62,130",+80,"1,055",,"70,560",919,"497,869","548,735","907,303 ",Australia/Oceania
Madagascar,"63,659",,"1,366 ",,"58,677",,"3,616",61,"2,204",47,"398,434","13,796","28,879,695 ",Africa
Guyana,"63,024",+22,"1,223 ",,"61,473",+28,328,5,"79,486","1,542","543,927","686,000","792,896 ",South America
Sudan,"61,569",+15,"3,912 ",+1,"40,329",,"17,328",,"1,351",86,"562,941","12,356","45,559,049 ",Africa
Mauritania,"58,645",+5,980 ,,"57,628",+10,37,30,"12,082",202,"750,363","154,595","4,853,726 ",Africa
Belize,"56,876",+34,651 ,,"55,227",+120,998,6,"138,828","1,589","505,691","1,234,335","409,687 ",North America
New Caledonia,"56,833",+645,302 ,+1,"50,063","+1,816","6,468",21,"195,918","1,041","98,964","341,155","290,085 ",Australia/Oceania
Cabo Verde,"55,890",+1,401 ,,"55,429",+6,60,23,"98,732",708,"400,982","708,350","566,079 ",Africa
Barbados,"55,863",+158,316 ,,"53,869",+225,"1,678",,"193,994","1,097","589,703","2,047,843","287,963 ",North America
Syria,"54,894",+72,"3,089 ",+4,"47,902",+187,"3,903",,"3,014",170,"146,269","8,032","18,210,598 ",Asia
Channel Islands,"53,230",+316,145 ,+1,"49,786",+260,"3,299",,"301,516",821,"1,214,932","6,881,869","176,541 ",Europe
Gabon,"47,543",,303 ,,"46,561",,679,1,"20,551",131,"1,571,354","679,229","2,313,439 ",Africa
Papua New Guinea,"41,421",,638 ,,"39,905",,878,7,"4,488",69,"249,149","26,993","9,230,141 ",Australia/Oceania
Seychelles,"39,403",,163 ,,"38,923",,317,,"396,548","1,640",,,"99,365 ",Africa
Curaçao,"39,133",+51,264 ,+2,"38,533",+26,336,3,"236,861","1,598","494,095","2,990,618","165,215 ",North America
Andorra,"38,434",+92,151 ,,"37,606",+86,677,14,"496,102","1,949","249,838","3,224,881","77,472 ",Europe
Burundi,"38,150",+16,38 ,,773,,"37,339",,"3,056",3,"345,742","27,699","12,481,973 ",Africa
Togo,"36,815",+3,272 ,,"36,421",+3,122,,"4,279",32,"693,741","80,642","8,602,757 ",Africa
Mayotte,"36,703",+41,187 ,,"2,964",,"33,552",,"129,324",659,"176,919","623,378","283,807 ",Africa
Guinea,"36,397",,440 ,,"32,939",,"3,018",49,"2,651",32,"587,607","42,805","13,727,553 ",Africa
Faeroe Islands,"34,237",,28 ,,"7,693",,"26,516",5,"696,256",569,"778,000","15,821,691","49,173 ",Europe
Aruba,"33,732",+48,212 ,+1,"33,462",+44,58,7,"313,716","1,972","177,885","1,654,375","107,524 ",North America
Tanzania,"33,620",,798 ,,N/A,N/A,N/A,7,537,13,,,"62,574,745 ",Africa
Bahamas,"33,169",+17,771 ,,"31,963",+16,435,9,"83,021","1,930","222,122","555,967","399,524 ",North America
Lesotho,"32,707",,697 ,,"23,437",,"8,573",,"15,068",321,"403,174","185,740","2,170,634 ",Africa
Mauritius,"32,431",+277,786 ,,"28,637",+75,"3,008",,"25,430",616,"358,675","281,248","1,275,296 ",Africa
Mali,"30,396",+4,724 ,,"29,542",+7,130,,"1,432",34,"625,403","29,466","21,224,601 ",Africa
Haiti,"30,382",+29,820 ,,"25,485",+227,"4,077",,"2,611",70,"132,422","11,382","11,634,821 ",North America
Benin,"26,575",,163 ,,"25,506",,906,5,"2,100",13,"604,310","47,759","12,653,403 ",Africa
Somalia,"26,351",,"1,348 ",,"13,182",,"11,821",,"1,584",81,"400,466","24,076","16,633,513 ",Africa
Congo,"24,020",,378 ,,"20,178",,"3,464",,"4,181",66,"347,815","60,543","5,744,895 ",Africa
Isle of Man,"23,328",+97,80 ,,"22,607",+55,641,,"271,936",933,"150,753","1,757,335","85,785 ",Europe
Timor-Leste,"22,736",,129 ,,"22,291",,316,9,"16,713",95,"248,770","182,866","1,360,393 ",Asia
Saint Lucia,"22,733",,360 ,,"22,280",,93,3,"122,861","1,946","136,343","736,870","185,030 ",North America
Burkina Faso,"20,751",,375 ,,"20,309",,67,,949,17,"248,995","11,390","21,860,263 ",Africa
Taiwan,"20,717",+64,853 ,,"18,662",+60,"1,202",,867,36,"11,743,126","491,574","23,888,836 ",Asia
Cayman Islands,"19,373",,17 ,,"8,553",,"10,803",2,"289,097",254,"222,773","3,324,375","67,012 ",North America
Nicaragua,"18,105",,221 ,,"4,225",,"13,659",,"2,680",33,,,"6,756,268 ",North America
Tajikistan,"17,388",,124 ,,"17,263",,1,,"1,757",13,,,"9,895,422 ",Asia
South Sudan,"16,999",+6,137 ,,"13,271",,"3,591",1,"1,489",12,"342,501","30,010","11,413,044 ",Africa
Equatorial Guinea,"15,889",+4,183 ,,"15,665",+1,41,5,"10,736",124,"290,997","196,631","1,479,917 ",Africa
Gibraltar,"15,609",+36,101 ,,"15,028",+55,480,10,"463,533","2,999","517,725","15,374,621","33,674 ",Europe
Djibouti,"15,550",+1,189 ,,"15,359",+2,2,,"15,366",187,"286,712","283,310","1,012,007 ",Africa
San Marino,"14,369",,112 ,,"13,994",,263,4,"421,997","3,289","136,485","4,008,370","34,050 ",Europe
CAR,"14,320",+95,113 ,,"6,859",,"7,348",2,"2,881",23,"81,294","16,357","4,970,057 ",Africa
Bhutan,"14,120",+274,6 ,,"10,071",+431,"4,043",3,"17,969",8,"2,003,534","2,549,652","785,807 ",Asia
Grenada,"13,690",,216 ,,"13,336",,138,4,"120,728","1,905","136,411","1,202,972","113,395 ",North America
Liechtenstein,"12,681",+362,78 ,,"11,863",+93,740,6,"331,002","2,036","80,413","2,098,953","38,311 ",Europe
Gambia,"11,939",,365 ,,"11,559",,15,4,"4,719",144,"137,657","54,409","2,530,018 ",Africa
Greenland,"11,806",+28,20 ,+2,"2,761",,"9,025",4,"207,359",351,"164,926","2,896,742","56,935 ",North America
Yemen,"11,774",+2,"2,135 ",,"8,706",+10,933,23,381,69,"265,253","8,578","30,923,089 ",Asia
Bermuda,"11,634",,123 ,,"11,338",,173,,"187,970","1,987","805,308","13,011,294","61,893 ",North America
Dominica,"11,248",+100,61 ,,"10,918",+37,269,,"155,606",844,"169,712","2,347,818","72,285 ",North America
Saint Martin,"9,912",,63 ,,"1,399",,"8,450",7,"249,246","1,584","112,382","2,825,940","39,768 ",North America
Eritrea,"9,708",+1,103 ,,"9,603",+3,2,,"2,676",28,"23,693","6,530","3,628,439 ",Africa
Sint Maarten,"9,573",+3,85 ,,"9,446",+8,42,10,"219,117","1,946","62,056","1,420,403","43,689 ",North America
Monaco,"9,520",+20,51 ,,"9,299",+35,170,4,"239,756","1,284","54,960","1,384,139","39,707 ",Europe
Niger,"8,760",,307 ,,"8,435",,18,1,341,12,"229,438","8,938","25,668,861 ",Africa
Comoros,"8,033",,160 ,,"7,855",,18,,"8,920",178,,,"900,541 ",Africa
Guinea-Bissau,"8,027",,167 ,,"7,018",,842,6,"3,924",82,"124,624","60,921","2,045,678 ",Africa
Sierra Leone,"7,665",,125 ,,N/A,N/A,N/A,,929,15,"259,958","31,518","8,247,944 ",Africa
Caribbean Netherlands,"7,609",+4,31 ,,"7,545",,33,,"285,730","1,164","30,126","1,131,281","26,630 ",North America
Antigua and Barbuda,"7,449",,135 ,,"7,284",,30,1,"75,027","1,360","18,901","190,373","99,284 ",North America
Liberia,"7,384",,294 ,,"5,747",,"1,343",2,"1,405",56,"139,824","26,602","5,256,202 ",Africa
Solomon Islands,"7,258",,111 ,,"1,783",,"5,364",2,"10,151",155,"5,117","7,157","715,012 ",Australia/Oceania
Chad,"7,255",,190 ,,"4,874",,"2,191",,421,11,"191,341","11,116","17,212,748 ",Africa
St. Vincent Grenadines,"6,742",,106 ,,"6,627",,9,,"60,451",950,"98,236","880,811","111,529 ",North America
